"No","Hebrew (letters)","Triplet (transliteration)","Astrological Correspondence","Archangel / Angel","Keyword","Meaning (English)","Practical Application","Reflective Question","Meditation Practice","Associated Psalm","Psalm Text (English)"
"1","והו","Vav Heh Vav","Aries","Vehuiah","Return Creation","Return to creation; reset past seeds to reshape present/future","Use when you need to return to creation.","Where in my life do I need more return creation right now?","Visualize the letters והו glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on return creation.","Psalm 3:3","But thou, O LORD, art a shield for me; my glory, and the lifter up of mine head."
"2","ילי","Yud Lamed Yud","Aries","Jeliel","Return Embryonic State","Return to the embryonic state; reclaim lost sparks of the soul","Use when you need to return to the embryonic state.","Where in my life do I need more return embryonic state right now?","Visualize the letters ילי glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on return embryonic state.","Psalm 22:19","But be not thou far from me, O LORD: O my strength, haste thee to help me."
"3","סיט","Samech Yud Tet","Aries","Sitael","Miracle Making","Miracle making; ignite the power of miracles by rejecting negativity","Use when you need to miracle making.","Where in my life do I need more miracle making right now?","Visualize the letters סיט glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on miracle making.","Psalm 91:2","I will say of the LORD, He is my refuge and my fortress: my God; in him will I trust."
"4","עלמ","Ayin Lamed Mem","Aries","Elemiah","Eliminate Negative Thoughts","Eliminate negative thoughts; open the heart to Light","Use when you need to eliminate negative thoughts.","Where in my life do I need more eliminate negative thoughts right now?","Visualize the letters עלמ glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on eliminate negative thoughts.","Psalm 6:4","Return, O LORD, deliver my soul: oh save me for thy mercies' sake."
"5","מהש","Mem Heh Shin","Aries","Mahasiah","Healing Deepest Level","Healing at the deepest level","Use when you need to healing at the deepest level.","Where in my life do I need more healing deepest level right now?","Visualize the letters מהש glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on healing deepest level.","Psalm 34:4","I sought the LORD, and he heard me, and delivered me from all my fears."
"6","ללה","Lamed Lamed Heh","Aries","Lelahel","Truthful Dreams","Truthful dreams; build the vessel for true dream-state insight","Use when you need to truthful dreams.","Where in my life do I need more truthful dreams right now?","Visualize the letters ללה glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on truthful dreams.","Psalm 9:11","Sing praises to the LORD, which dwelleth in Zion: declare among the people his doings."
"7","אכא","Aleph Kaf Aleph","Taurus","Achaiah","Dna Soul","DNA of the soul; restore order and purpose","Use when you need to dNA of the soul.","Where in my life do I need more dna soul right now?","Visualize the letters אכא glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on dna soul.","Psalm 103:8","The LORD is merciful and gracious, slow to anger, and plenteous in mercy."
"8","כהת","Kaf Heh Tav","Taurus","Cahetel","Defuse Negative Energy","Defuse negative energy and stress","Use when you need to defuse negative energy and stress.","Where in my life do I need more defuse negative energy right now?","Visualize the letters כהת glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on defuse negative energy.","Psalm 95:6","O come, let us worship and bow down: let us kneel before the LORD our maker."
"9","הזי","Heh Zayin Yud","Taurus","Haziel","Angelic Influence","Angelic influence; access angelic assistance to bring order","Use when you need to angelic influence.","Where in my life do I need more angelic influence right now?","Visualize the letters הזי glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on angelic influence.","Psalm 25:6","Remember, O LORD, thy tender mercies and thy lovingkindnesses; for they have been ever of old."
"10","אלד","Aleph Lamed Dalet","Taurus","Aladiah","Protection Evil Eye","Protection from the evil eye; shield from envy and bad dreams","Use when you need to protection from the evil eye.","Where in my life do I need more protection evil eye right now?","Visualize the letters אלד glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on protection evil eye.","Psalm 33:22","Let thy mercy, O LORD, be upon us, according as we hope in thee."
"11","לאו","Lamed Aleph Vav","Taurus","Lauviah","Banish Remnants Evil","Banish remnants of evil and inflated ego","Use when you need to banish remnants of evil and inflated ego.","Where in my life do I need more banish remnants evil right now?","Visualize the letters לאו glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on banish remnants evil.","Psalm 18:46","The LORD liveth; and blessed be my rock; and let the God of my salvation be exalted."
"12","ההע","Heh Heh Ayin","Taurus","Hahaiah","Transform Hatred Through","Transform hatred through unconditional love","Use when you need to transform hatred through unconditional love.","Where in my life do I need more transform hatred through right now?","Visualize the letters ההע glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on transform hatred through.","Psalm 10:1","Why standest thou afar off, O LORD? why hidest thou thyself in times of trouble?"
"13","יזל","Yud Zayin Lamed","Gemini","Iezalel","Heaven Earth","Heaven on Earth; awaken the inner ‘Messiah’ potential","Use when you need to heaven on Earth.","Where in my life do I need more heaven earth right now?","Visualize the letters יזל glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on heaven earth.","Psalm 98:4","Make a joyful noise unto the LORD, all the earth: make a loud noise, and rejoice, and sing praise."
"14","מבה","Mem Bet Heh","Gemini","Mebahel","Farewell Arms","Farewell to arms; peaceful resolutions to conflict","Use when you need to farewell to arms.","Where in my life do I need more farewell arms right now?","Visualize the letters מבה glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on farewell arms.","Psalm 9:9","The LORD also will be a refuge for the oppressed, a refuge in times of trouble."
"15","הרי","Heh Resh Yud","Gemini","Hariel","Long Range Vision","Long-range vision; see consequences of impulsive actions","Use when you need to long-range vision.","Where in my life do I need more long range vision right now?","Visualize the letters הרי glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on long range vision.","Psalm 94:22","But the LORD is my defence; and my God is the rock of my refuge."
"16","הקמ","Heh Kuf Mem","Gemini","Hakamiah","Lift Depression After","Lift depression after setbacks; emotional resilience","Use when you need to lift depression after setbacks.","Where in my life do I need more lift depression after right now?","Visualize the letters הקמ glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on lift depression after.","Psalm 88:1","O LORD God of my salvation, I have cried day and night before thee:"
"17","לאו","Lamed Aleph Vav","Gemini","Lauviah (2)","Great Escape","The Great Escape; release from ego","Use when you need to the Great Escape.","Where in my life do I need more great escape right now?","Visualize the letters לאו glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on great escape.","Psalm 8:9","O LORD our Lord, how excellent is thy name in all the earth!"
"18","כלי","Kaf Lamed Yud","Gemini","Caliel","Fertility","Fertility; empower creation/fruitfulness","Use when you need to fertility.","Where in my life do I need more fertility right now?","Visualize the letters כלי glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on fertility.","Psalm 35:24","Judge me, O LORD my God, according to thy righteousness; and let them not rejoice over me."
"19","לוו","Lamed Vav Vav","Cancer","Leuviah","Remove Egoic Static","Remove egoic ‘static’ so prayers are answered","Use when you need to remove egoic ‘static’ so prayers are answered.","Where in my life do I need more remove egoic static right now?","Visualize the letters לוו glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on remove egoic static.","Psalm 40:1","I waited patiently for the LORD; and he inclined unto me, and heard my cry."
"20","פהל","Pey Heh Lamed","Cancer","Pahaliah","Spiritual Strength Overcome","Spiritual strength to overcome addictions","Use when you need to spiritual strength to overcome addictions.","Where in my life do I need more spiritual strength overcome right now?","Visualize the letters פהל glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on spiritual strength overcome.","Psalm 120:1–2","In my distress I cried unto the LORD, and he heard me. Deliver my soul, O LORD, from lying lips, and from a deceitful tongue."
"21","נלכ","Nun Lamed Kaf","Cancer","Nelchael","Eradicate Plagues","Eradicate plagues; strength to eliminate sickness at the root","Use when you need to eradicate plagues.","Where in my life do I need more eradicate plagues right now?","Visualize the letters נלכ glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on eradicate plagues.","Psalm 31:14","But I trusted in thee, O LORD: I said, Thou art my God."
"22","ייי","Yud Yud Yud","Cancer","Yeiayel","Priestly Blessing","Priestly blessing; wellness and banishing negativity","Use when you need to priestly blessing.","Where in my life do I need more priestly blessing right now?","Visualize the letters ייי glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on priestly blessing.","Psalm 121:5","The LORD is thy keeper: the LORD is thy shade upon thy right hand."
"23","מלה","Mem Lamed Heh","Cancer","Melahel","Share Flame","Share the flame; spread the Light to others","Use when you need to share the flame.","Where in my life do I need more share flame right now?","Visualize the letters מלה glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on share flame.","Psalm 121:8","The LORD shall preserve thy going out and thy coming in from this time forth, and even for evermore."
"24","חהו","Chet Heh Vav","Cancer","Hahuiah","Free Jealousy Bondage","Free from jealousy and bondage to materiality","Use when you need to free from jealousy and bondage to materiality.","Where in my life do I need more free jealousy bondage right now?","Visualize the letters חהו glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on free jealousy bondage.","Psalm 33:18","Behold, the eye of the LORD is upon them that fear him, upon them that hope in his mercy;"
"25","נתה","Nun Tav Heh","Leo","Nith-Haiah","Courage Speak Truth","Courage to speak the truth (and hear it)","Use when you need to courage to speak the truth (and hear it).","Where in my life do I need more courage speak truth right now?","Visualize the letters נתה glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on courage speak truth.","Psalm 9:1","I will praise thee, O LORD, with my whole heart; I will shew forth all thy marvellous works."
"26","האא","Heh Aleph Aleph","Leo","Haaiah","Order Out Chaos","Order out of chaos; restore balance","Use when you need to order out of chaos.","Where in my life do I need more order out chaos right now?","Visualize the letters האא glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on order out chaos.","Psalm 119:145","I cried with my whole heart; hear me, O LORD: I will keep thy statutes."
"27","ירת","Yud Resh Tav","Leo","Yerathel","Silent Partner","The Silent Partner; align earnings with the Light (abundance)","Use when you need to the Silent Partner.","Where in my life do I need more silent partner right now?","Visualize the letters ירת glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on silent partner.","Psalm 140:1","Deliver me, O LORD, from the evil man: preserve me from the violent man;"
"28","שאה","Shin Aleph Heh","Leo","Seheiah","Soul Mate","Soul mate; break judgments to attract true union","Use when you need to soul mate.","Where in my life do I need more soul mate right now?","Visualize the letters שאה glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on soul mate.","Psalm 71:12","O God, be not far from me: O my God, make haste for my help."
"29","ריי","Resh Yud Yud","Leo","Reiiel","Cleanse Hatred Heart","Cleanse hatred from the heart","Use when you need to cleanse hatred from the heart.","Where in my life do I need more cleanse hatred heart right now?","Visualize the letters ריי glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on cleanse hatred heart.","Psalm 54:4","Behold, God is mine helper: the Lord is with them that uphold my soul."
"30","אומ","Aleph Vav Mem","Leo","Omael","Build Bridges","Build bridges; reconcile and elevate relationships","Use when you need to build bridges.","Where in my life do I need more build bridges right now?","Visualize the letters אומ glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on build bridges.","Psalm 71:5","For thou art my hope, O Lord GOD: thou art my trust from my youth."
"31","לכב","Lamed Kaf Bet","Virgo","Lecabel","Finish What You","Finish what you start; overcome obstacles and procrastination","Use when you need to finish what you start.","Where in my life do I need more finish what you right now?","Visualize the letters לכב glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on finish what you.","Psalm 71:16","I will go in the strength of the Lord GOD: I will make mention of thy righteousness, even of thine only."
"32","ושר","Vav Shin Resh","Virgo","Vasariah","Memories","Memories; break cycles of repetitive mistakes","Use when you need to memories.","Where in my life do I need more memories right now?","Visualize the letters ושר glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on memories.","Psalm 33:4","For the word of the LORD is right; and all his works are done in truth."
"33","יחו","Yud Chet Vav","Virgo","Yehuiah","Reveal Dark Side","Reveal the dark side; dissolve self‑centeredness","Use when you need to reveal the dark side.","Where in my life do I need more reveal dark side right now?","Visualize the letters יחו glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on reveal dark side.","Psalm 94:11","The LORD knoweth the thoughts of man, that they are vanity."
"34","להח","Lamed Heh Chet","Virgo","Lehahiah","Forget Thyself","Forget thyself; let go of stubborn ego","Use when you need to forget thyself.","Where in my life do I need more forget thyself right now?","Visualize the letters להח glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on forget thyself.","Psalm 131:3","Let Israel hope in the LORD from henceforth and for ever."
"35","כוק","Kaf Vav Kuf","Virgo","Chavakiah","Sanctified Sexual Energy","Sanctified sexual energy; elevate desire through sharing","Use when you need to sanctified sexual energy.","Where in my life do I need more sanctified sexual energy right now?","Visualize the letters כוק glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on sanctified sexual energy.","Psalm 116:1","I love the LORD, because he hath heard my voice and my supplications."
"36","מנד","Mem Nun Dalet","Virgo","Menadel","Fearlessness","Fearlessness; conquer fears, stop panic","Use when you need to fearlessness.","Where in my life do I need more fearlessness right now?","Visualize the letters מנד glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on fearlessness.","Psalm 26:8","LORD, I have loved the habitation of thy house, and the place where thine honour dwelleth."
"37","אני","Aleph Nun Yud","Libra","Aniel","Grasp Big Picture","Grasp the big picture behind obstacles","Use when you need to grasp the big picture behind obstacles.","Where in my life do I need more grasp big picture right now?","Visualize the letters אני glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on grasp big picture.","Psalm 80:3","Turn us again, O God, and cause thy face to shine; and we shall be saved."
"38","חעמ","Chet Ayin Mem","Libra","Haamiah","Circuitry Receiving Sake","Circuitry of receiving for the sake of sharing","Use when you need to circuitry of receiving for the sake of sharing.","Where in my life do I need more circuitry receiving sake right now?","Visualize the letters חעמ glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on circuitry receiving sake.","Psalm 91:9","Because thou hast made the LORD, which is my refuge, even the most High, thy habitation;"
"39","רהע","Resh Heh Ayin","Libra","Rehael","Diamond Rough","Diamond in the rough; transform hardships into blessings","Use when you need to diamond in the rough.","Where in my life do I need more diamond rough right now?","Visualize the letters רהע glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on diamond rough.","Psalm 30:10","Hear, O LORD, and have mercy upon me: LORD, be thou my helper."
"40","ייז","Yud Yud Zayin","Libra","Ieiazel","Speak Rightly","Speak rightly; words that elevate and create","Use when you need to speak rightly.","Where in my life do I need more speak rightly right now?","Visualize the letters ייז glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on speak rightly.","Psalm 88:14","LORD, why castest thou off my soul? why hidest thou thy face from me?"
"41","ההה","Heh Heh Heh","Libra","Hahahel","Self Esteem","Self‑esteem; priestly wholeness across life areas","Use when you need to self‑esteem.","Where in my life do I need more self esteem right now?","Visualize the letters ההה glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on self esteem.","Psalm 120:2","Deliver my soul, O LORD, from lying lips, and from a deceitful tongue."
"42","מיכ","Mem Yud Kaf","Libra","Mikael","Reveal Concealed","Reveal the concealed; connect to spiritual secrets","Use when you need to reveal the concealed.","Where in my life do I need more reveal concealed right now?","Visualize the letters מיכ glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on reveal concealed.","Psalm 121:7","The LORD shall preserve thee from all evil: he shall preserve thy soul."
"43","וול","Vav Vav Lamed","Scorpio","Veuliah","Defy Gravity","Defy gravity; place spirit over matter","Use when you need to defy gravity.","Where in my life do I need more defy gravity right now?","Visualize the letters וול glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on defy gravity.","Psalm 88:13","But unto thee have I cried, O LORD; and in the morning shall my prayer prevent thee."
"44","ילה","Yud Lamed Heh","Scorpio","Ielahiah","Sweeten Judgments","Sweeten judgments; mercy and compassion","Use when you need to sweeten judgments.","Where in my life do I need more sweeten judgments right now?","Visualize the letters ילה glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on sweeten judgments.","Psalm 119:108","Accept, I beseech thee, the freewill offerings of my mouth, O LORD, and teach me thy judgments."
"45","סאל","Samech Aleph Lamed","Scorpio","Sealiah","Prosperity","Prosperity; summon sustenance with humility over ego","Use when you need to prosperity.","Where in my life do I need more prosperity right now?","Visualize the letters סאל glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on prosperity.","Psalm 94:18","When I said, My foot slippeth; thy mercy, O LORD, held me up."
"46","ערי","Ayin Resh Yud","Scorpio","Ariel","Absolute Certainty Light","Absolute certainty in the Light","Use when you need to absolute certainty in the Light.","Where in my life do I need more absolute certainty light right now?","Visualize the letters ערי glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on absolute certainty light.","Psalm 145:9","The LORD is good to all: and his tender mercies are over all his works."
"47","עשל","Ayin Shin Lamed","Scorpio","Asaliah","Global Transformation Begins","Global transformation begins in the heart","Use when you need to global transformation begins in the heart.","Where in my life do I need more global transformation begins right now?","Visualize the letters עשל glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on global transformation begins.","Psalm 92:5","O LORD, how great are thy works! and thy thoughts are very deep."
"48","מיה","Mem Yud Heh","Scorpio","Mihael","Unity Via Sensitivity","Unity via sensitivity and tolerance","Use when you need to unity via sensitivity and tolerance.","Where in my life do I need more unity via sensitivity right now?","Visualize the letters מיה glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on unity via sensitivity.","Psalm 98:2","The LORD hath made known his salvation: his righteousness hath he openly shewed in the sight of the heathen."
"49","והו","Vav Heh Vav","Sagittarius","Vehuel","Happiness","Happiness; ask for what the soul needs, not the ego","Use when you need to happiness.","Where in my life do I need more happiness right now?","Visualize the letters והו glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on happiness.","Psalm 145:3","Great is the LORD, and greatly to be praised; and his greatness is unsearchable."
"50","דני","Dalet Nun Yud","Sagittarius","Daniel","Enough Is Never","‘Enough is never enough’; persistent growth without judgment","Use when you need to ‘Enough is never enough’.","Where in my life do I need more enough is never right now?","Visualize the letters דני glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on enough is never.","Psalm 145:8","The LORD is gracious, and full of compassion; slow to anger, and of great mercy."
"51","החש","Heh Chet Shin","Sagittarius","Hahasiah","No Guilt","No guilt; repentance repairs the past","Use when you need to no guilt.","Where in my life do I need more no guilt right now?","Visualize the letters החש glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on no guilt.","Psalm 104:31","The glory of the LORD shall endure for ever: the LORD shall rejoice in his works."
"52","עממ","Ayin Mem Mem","Sagittarius","Imamiah","Passion","Passion; sincere consciousness in prayer/meditation","Use when you need to passion.","Where in my life do I need more passion right now?","Visualize the letters עממ glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on passion.","Psalm 7:17","I will praise the LORD according to his righteousness: and will sing praise to the name of the LORD most high."
"53","ננא","Nun Nun Aleph","Sagittarius","Nanael","No Agenda","No agenda; act with loving‑kindness (Archangel Michael)","Use when you need to no agenda.","Where in my life do I need more no agenda right now?","Visualize the letters ננא glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on no agenda.","Psalm 119:75","I know, O LORD, that thy judgments are right, and that thou in faithfulness hast afflicted me."
"54","נית","Nun Yud Tav","Sagittarius","Nithael","Cancel Death","Cancel death; immortality consciousness","Use when you need to cancel death.","Where in my life do I need more cancel death right now?","Visualize the letters נית glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on cancel death.","Psalm 103:19","The LORD hath prepared his throne in the heavens; and his kingdom ruleth over all."
"55","מבה","Mem Bet Heh","Capricorn","Mebahiah","Thought Into Action","Thought into action; commit and actualize","Use when you need to thought into action.","Where in my life do I need more thought into action right now?","Visualize the letters מבה glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on thought into action.","Psalm 102:12","But thou, O LORD, shalt endure for ever; and thy remembrance unto all generations."
"56","פוי","Pey Vav Yud","Capricorn","Poiel","Eliminate Idol Worship","Eliminate idol‑worship (anger, ego, money)","Use when you need to eliminate idol‑worship (anger, ego, money).","Where in my life do I need more eliminate idol worship right now?","Visualize the letters פוי glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on eliminate idol worship.","Psalm 145:14","The LORD upholdeth all that fall, and raiseth up all those that be bowed down."
"57","נממ","Nun Mem Mem","Capricorn","Nemamiah","Listen Soul","Listen to the soul; cross your ‘Red Sea’","Use when you need to listen to the soul.","Where in my life do I need more listen soul right now?","Visualize the letters נממ glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on listen soul.","Psalm 115:11","Ye that fear the LORD, trust in the LORD: he is their help and their shield."
"58","ייל","Yud Yud Lamed","Capricorn","Yeialel","Letting Go","Letting go; let the Light fight your battles","Use when you need to letting go.","Where in my life do I need more letting go right now?","Visualize the letters ייל glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on letting go.","Psalm 6:3","My soul is also sore vexed: but thou, O LORD, how long?"
"59","הרח","Heh Resh Chet","Capricorn","Harahel","Divine Umbilical Cord","Divine ‘umbilical cord’; remove spiritual darkness","Use when you need to divine ‘umbilical cord’.","Where in my life do I need more divine umbilical cord right now?","Visualize the letters הרח glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on divine umbilical cord.","Psalm 113:3","From the rising of the sun unto the going down of the same the LORD's name is to be praised."
"60","מצר","Mem Tsadik Resh","Capricorn","Mizrael","Freedom","Freedom; release negative patterns and bondages","Use when you need to freedom.","Where in my life do I need more freedom right now?","Visualize the letters מצר glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on freedom.","Psalm 145:17","The LORD is righteous in all his ways, and holy in all his works."
"61","ומב","Vav Mem Bet","Aquarius","Umabel","Water","Water; healing through the energy of water","Use when you need to water.","Where in my life do I need more water right now?","Visualize the letters ומב glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on water.","Psalm 113:2","Blessed be the name of the LORD from this time forth and for evermore."
"62","יהה","Yud Heh Heh","Aquarius","Iah-Hel","Parent Teacher","Parent‑teacher, not preacher; teach by example","Use when you need to parent‑teacher, not preacher.","Where in my life do I need more parent teacher right now?","Visualize the letters יהה glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on parent teacher.","Psalm 119:159","Consider how I love thy precepts: quicken me, O LORD, according to thy lovingkindness."
"63","ענו","Ayin Nun Vav","Aquarius","Anauel","Cultivate Appreciation","Cultivate appreciation, humility, gratitude","Use when you need to cultivate appreciation, humility, gratitude.","Where in my life do I need more cultivate appreciation right now?","Visualize the letters ענו glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on cultivate appreciation.","Psalm 100:2","Serve the LORD with gladness: come before his presence with singing."
"64","מחי","Mem Chet Yud","Aquarius","Mehiel","Cast Yourself Favorable","Cast yourself in a favorable light","Use when you need to cast yourself in a favorable light.","Where in my life do I need more cast yourself favorable right now?","Visualize the letters מחי glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on cast yourself favorable.","Psalm 33:18","Behold, the eye of the LORD, is upon them that fear him, upon them that hope in his mercy;"
"65","דמב","Dalet Mem Bet","Aquarius","Damabiah","Reverence Fear God","Reverence (fear) of God; know consequences of behavior","Use when you need to reverence (fear) of God.","Where in my life do I need more reverence fear god right now?","Visualize the letters דמב glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on reverence fear god.","Psalm 90:13","Return, O LORD, how long? and let it repent thee concerning thy servants."
"66","מנק","Mem Nun Kuf","Aquarius","Manakel","Accountability","Accountability; end self‑pity, revenge, and victimhood","Use when you need to accountability.","Where in my life do I need more accountability right now?","Visualize the letters מנק glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on accountability.","Psalm 38:21","Forsake me not, O LORD: O my God, be not far from me."
"67","איע","Aleph Yud Ayin","Pisces","Eyael","Great Expectations","Great expectations; release disappointment","Use when you need to great expectations.","Where in my life do I need more great expectations right now?","Visualize the letters איע glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on great expectations.","Psalm 37:4","Delight thyself also in the LORD; and he shall give thee the desires of thine heart."
"68","חבו","Chet Bet Vav","Pisces","Habuhiah","Contact Departed Souls","Contact departed souls; elevate and receive guidance","Use when you need to contact departed souls.","Where in my life do I need more contact departed souls right now?","Visualize the letters חבו glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on contact departed souls.","Psalm 106:1","Praise ye the LORD. O give thanks unto the LORD; for he is good: for his mercy endureth for ever."
"69","ראה","Resh Aleph Heh","Pisces","Rochel","Lost Found","Lost and found; regain direction","Use when you need to lost and found.","Where in my life do I need more lost found right now?","Visualize the letters ראה glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on lost found.","Psalm 16:5","The LORD is the portion of mine inheritance and of my cup: thou maintainest my lot."
"70","יבמ","Yud Bet Mem","Pisces","Jabamiah","Discern Order Beneath","Discern order beneath disorder; remove financial blockages","Use when you need to discern order beneath disorder.","Where in my life do I need more discern order beneath right now?","Visualize the letters יבמ glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on discern order beneath.","Genesis 1:1","In the beginning God created the heaven and the earth."
"71","היי","Heh Yud Yud","Pisces","Haiaiel","Prophecy Parallel Universes","Prophecy & parallel universes; heightened intuition","Use when you need to prophecy & parallel universes.","Where in my life do I need more prophecy parallel universes right now?","Visualize the letters היי glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on prophecy parallel universes.","Psalm 109:30","I will greatly praise the LORD with my mouth; yea, I will praise him among the multitude."
"72","מומ","Mem Vav Mem","Pisces","Mumiah","Spiritual Cleansing","Spiritual cleansing; purify self and surroundings","Use when you need to spiritual cleansing.","Where in my life do I need more spiritual cleansing right now?","Visualize the letters מומ glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on spiritual cleansing.","Psalm 116:7","Return unto thy rest, O my soul; for the LORD hath dealt bountifully with thee."
